model_id,mean_per_class_error,logloss,rmse,mse
GBM_grid_1_AutoML_5_20260726_213005_model_96,0.0058479532163742,0.02483422785191,0.0846811521180259,0.0071708975240362
GBM_grid_1_AutoML_5_20260726_213005_model_93,0.0058479532163742,0.0317602840889416,0.0921191913959446,0.0084859454234426
GBM_grid_1_AutoML_5_20260726_213005_model_45,0.0058479532163742,0.0315119187131657,0.0893978071208076,0.0079919679180091
GBM_grid_1_AutoML_5_20260726_213005_model_47,0.0058479532163742,0.0390908353491006,0.1016840241953193,0.0103396407765542
GBM_grid_1_AutoML_5_20260726_213005_model_69,0.0058479532163742,0.0380435554672826,0.099069421566085,0.0098147502894386
GBM_lr_annealing_selection_AutoML_5_20260726_213005_select_model,0.0058479532163742,0.0520975763019774,0.1147937574583828,0.013177606751414
GBM_grid_1_AutoML_5_20260726_213005_model_52,0.0058479532163742,0.0320275325862359,0.093919426203338,0.0088208586183642
GBM_grid_1_AutoML_5_20260726_213005_model_108,0.0116959064327485,0.049765741730636,0.1204902498400988,0.0145179003065294
GBM_grid_1_AutoML_5_20260726_213005_model_102,0.0116959064327485,0.0322334532157405,0.0982874130146955,0.0096604155571213
GBM_grid_1_AutoML_5_20260726_213005_model_28,0.0116959064327485,0.0410448303139027,0.1072277548156725,0.0114977914028099
GBM_grid_1_AutoML_5_20260726_213005_model_30,0.0116959064327485,0.0276304461168391,0.092067403868514,0.008476406855088
GBM_grid_1_AutoML_5_20260726_213005_model_105,0.0116959064327485,0.0379340966469682,0.1038216450712764,0.010778933985306
GBM_grid_1_AutoML_5_20260726_213005_model_85,0.0116959064327485,0.0441686605292729,0.1199180759020906,0.0143803449280595
GBM_grid_1_AutoML_5_20260726_213005_model_92,0.0116959064327485,0.0396190567944534,0.1045669785939103,0.0109342530122593
GBM_grid_1_AutoML_5_20260726_213005_model_75,0.0116959064327485,0.0297928872931565,0.091281574506848,0.0083323258444492
GBM_grid_1_AutoML_5_20260726_213005_model_91,0.0116959064327485,0.0559645479282563,0.1247292190513965,0.0155573780851712
GBM_grid_1_AutoML_5_20260726_213005_model_41,0.0116959064327485,0.0313052620039215,0.0961366115931787,0.0092422480886177
GBM_grid_1_AutoML_5_20260726_213005_model_12,0.0116959064327485,0.0498022722648687,0.116192944183215,0.0135008002779637
GBM_grid_1_AutoML_5_20260726_213005_model_106,0.0116959064327485,0.0334713037698103,0.0971988457118166,0.0094476156077095
GBM_grid_1_AutoML_5_20260726_213005_model_16,0.0116959064327485,0.0368516850942358,0.099791054630379,0.0099582545842432
GBM_grid_1_AutoML_5_20260726_213005_model_83,0.0116959064327485,0.0306852112706816,0.0930951212811302,0.0086667016063483
GBM_grid_1_AutoML_5_20260726_213005_model_61,0.0116959064327485,0.0260364670171827,0.0940179607906559,0.0088393769512333
GBM_grid_1_AutoML_5_20260726_213005_model_46,0.0116959064327485,0.0369824670498145,0.106887926875793,0.0114250289118048
GBM_grid_1_AutoML_5_20260726_213005_model_114,0.0116959064327485,0.0496402576433816,0.1221362902979572,0.0149172734077468
GBM_grid_1_AutoML_5_20260726_213005_model_56,0.0116959064327485,0.0410734349780744,0.1158182172725336,0.0134138594521878
GBM_grid_1_AutoML_5_20260726_213005_model_81,0.0116959064327485,0.0355780631778957,0.1041695472227722,0.0108512945685973
GBM_grid_1_AutoML_5_20260726_213005_model_15,0.0116959064327485,0.033606951390707,0.0975154244686365,0.0095092580092983
GBM_grid_1_AutoML_5_20260726_213005_model_4,0.0116959064327485,0.038018835339765,0.110337347048371,0.0121743301536726
GBM_grid_1_AutoML_5_20260726_213005_model_29,0.0116959064327485,0.0422872285894622,0.1134743173270812,0.0128764206928471
GBM_grid_1_AutoML_5_20260726_213005_model_55,0.0116959064327485,0.0549845231002438,0.1250382825606942,0.015634572105728
GBM_grid_1_AutoML_5_20260726_213005_model_6,0.0116959064327485,0.0242844609187963,0.0862574062952873,0.0074403401407902
GBM_grid_1_AutoML_5_20260726_213005_model_37,0.0116959064327485,0.0445891119406526,0.1114185514342286,0.0124140936037018
GBM_grid_1_AutoML_5_20260726_213005_model_79,0.0116959064327485,0.0470173207029757,0.1188456493318908,0.0141242883651187
GBM_grid_1_AutoML_5_20260726_213005_model_107,0.0116959064327485,0.0432938231974091,0.113377188722959,0.0128543869227214
GBM_grid_1_AutoML_5_20260726_213005_model_116,0.0116959064327485,0.0218232999773449,0.085730736724666,0.007349759219354
XRT_1_AutoML_5_20260726_213005,0.0116959064327485,0.1302628900662041,0.1722992939190633,0.0296870466850077
GBM_grid_1_AutoML_5_20260726_213005_model_31,0.0116959064327485,0.0235698548613962,0.0825472109488012,0.0068140420354258
StackedEnsemble_BestOfFamily_1_AutoML_5_20260726_213005,0.0129401517979345,0.1886206463865464,0.2097745442549353,0.0440053594173658
GBM_grid_1_AutoML_5_20260726_213005_model_63,0.0129401517979345,0.0422118282606207,0.1134137190908643,0.0128626716780214
GBM_grid_1_AutoML_5_20260726_213005_model_24,0.0129401517979345,0.0416633568239226,0.1163204166758583,0.0135304393356453
GBM_grid_1_AutoML_5_20260726_213005_model_73,0.0129401517979345,0.0357576612219458,0.1039705280484073,0.0108098707026646
GBM_grid_1_AutoML_5_20260726_213005_model_34,0.0129401517979345,0.0368092999610448,0.1020154467196505,0.0104071513694098
GBM_grid_1_AutoML_5_20260726_213005_model_100,0.0129401517979345,0.0337339696370051,0.1013376125292634,0.0102693117131311
GBM_grid_1_AutoML_5_20260726_213005_model_90,0.0129401517979345,0.0390730380036539,0.1108280122376803,0.0122828482965554
GBM_grid_1_AutoML_5_20260726_213005_model_19,0.0129401517979345,0.0426349692406272,0.1099228223421138,0.0120830268716559
StackedEnsemble_BestOfFamily_2_AutoML_5_20260726_213005,0.0129401517979345,0.1921706662833495,0.2131823443337876,0.0454467119356496
StackedEnsemble_AllModels_2_AutoML_5_20260726_213005,0.0129401517979345,0.1836272835697503,0.2111470382690538,0.0445830717697933
StackedEnsemble_BestOfFamily_3_AutoML_5_20260726_213005,0.0129401517979345,0.2176801839974565,0.2385817884660771,0.0569212697876719
GBM_5_AutoML_5_20260726_213005,0.0175438596491228,0.0539796435053791,0.1295549821138798,0.0167844933905277
GBM_grid_1_AutoML_5_20260726_213005_model_27,0.0175438596491228,0.0490862014429969,0.1291456379673685,0.0166785958059986
GBM_grid_1_AutoML_5_20260726_213005_model_71,0.0175438596491228,0.04208304182908,0.1176943421239304,0.0138519581679848
GBM_grid_1_AutoML_5_20260726_213005_model_86,0.0175438596491228,0.0510083424594989,0.1263797023603463,0.0159718291686897
GBM_grid_1_AutoML_5_20260726_213005_model_49,0.0175438596491228,0.0395901687449858,0.115931923065983,0.013440210785777
DeepLearning_grid_1_AutoML_5_20260726_213005_model_7,0.0187881050143088,0.0914131456388977,0.1410391203298073,0.0198920334634058
GBM_grid_1_AutoML_5_20260726_213005_model_109,0.0187881050143088,0.0404956217077077,0.1182702934534503,0.0139878623135652
GBM_grid_1_AutoML_5_20260726_213005_model_1,0.0187881050143088,0.0323602070581843,0.1043519069503767,0.01088932048418
GBM_2_AutoML_5_20260726_213005,0.0200323503794948,0.0422917833385197,0.1167501000133637,0.0136305858531304
StackedEnsemble_AllModels_1_AutoML_5_20260726_213005,0.0200323503794948,0.1927532471190199,0.2161021346304269,0.0467001325918271
GBM_grid_1_AutoML_5_20260726_213005_model_26,0.0200323503794948,0.0408655238741776,0.1106089077600061,0.0122343304758615
GBM_4_AutoML_5_20260726_213005,0.0200323503794948,0.0397566872141122,0.1103298067809841,0.0121726662643292
DeepLearning_grid_2_AutoML_5_20260726_213005_model_3,0.0204678362573099,0.0600289953528856,0.1383634951249896,0.019144456783203
